Person_ID,Full_Name,Generation,Chart_Display_Name,Chart_Birth_Info,Chart_Death_Info,Father_ID,Mother_ID,Spouse_ID,Chart_Marriage_Info,Primary_URL,Notes,Tree_Connection,,Ancestor_file
G0_ME,Col. George Beall II,0,"Col. George Beall, II","b. 1729, DC","d. 1807, DC",G1_FATHER,G1_MOTHER,G0_SPOUSE,m. 1748,https://www.findagrave.com/memorial/37194034/george-beall,"Served in Revolutionary War, Maryland Militia",Beall_node,,
G0_SPOUSE,Elizabeth Magruder,0,Elizabeth Magruder,b. 1733,d. 1774,,,G0_ME,m. 1748,https://www.findagrave.com/memorial/37194034/george-beall,,Magruder_node,,
G1_FATHER,Col. George Beall Sr.,1,"Col. George Beall, Sr","b. 1695, MD","d. 1780, DC",G2_PATERNAL_GF,G2_PATERNAL_GM,G1_MOTHER,,https://www.findagrave.com/memorial/24747840/george-beall,"Served in Revolutionary War, Maryland Militia 1738-1752",,,
G1_MOTHER,Elizabeth Brooke,1,Elizabeth Brooke,"b. 1699, MD","d. 1748, DC",G2_MATERNAL_GF,G2_MATERNAL_GM,G1_FATHER,,https://www.findagrave.com/memorial/50217139/elizabeth-beall,,,,
G2_PATERNAL_GF,Ninian Beall Sr.,2,"Ninian Beall, Sr.","b. 1625, Scotland","d. 1717, MD",,,G2_PATERNAL_GM,,https://www.findagrave.com/memorial/25527218/ninian-beall,"Captured in Battle of Dunbar, 1650, sent to Barbadoes and then Maryland",,,
G2_PATERNAL_GM,"Ruth Edith ""Polly"" Moore",2,"Ruth Edith ""Polly"" Moore","b. 1638, MD","d. 1712, MD",G3_MOORE,G3_POTTENGER,G2_PATERNAL_GF,,https://www.findagrave.com/memorial/85790583/ruth_edith-beall,Jimmy Carter was directly descended from Ruth Moore,,,
G2_MATERNAL_GF,Col. Thomas Hatton Brooke Jr. ,2,Col. Thomas Hatton Brooke Jr. ,"b. 1659, MD","d. 1730, MD",G3_BROOKE,G3_HATTON,G2_MATERNAL_GM,,https://www.findagrave.com/memorial/33513877/thomas_hatton-brooke,,,,
G2_MATERNAL_GM,Barbara Dent,2,Barbara Dent,"b. 1676, MD","d. 1754, MD",G3_DENT,G3_WILKINSON,G2_MATERNAL_GF,,https://www.wikitree.com/wiki/Dent-150?utm_source=chatgpt.com,,,,
G3_MOORE,Richard Moore,3,Richard Moore,"b. 1614, England","d. 1654, MD",,,G3_POTTENGER,,https://www.geni.com/people/Richard-Moore/6000000003455434488?utm_source=chatgpt.com,"Quaker, Barrister, Planter",,,
G3_POTTENGER,Jane Pottenger,3,Jane Pottenger,"b. 1618, England","d. 1655, MD",,,G3_MOORE,,https://www.geni.com/people/Jane-Godson/6000000006900953154,,,,
G3_DENT,Thomas Dent Sr.,3,Thomas Dent Sr.,"b. ~1634, England","d. before 1676, VA",G4_WILKINSON,G4_HUGHES,G3_WILKINSON,,https://www.wikitree.com/wiki/Dent-143,immigrated to VA ~1658.,,,
G3_WILKINSON,Rebecca Wilkinson,3,Rebecca Wilkinson,"b. ~1633, VA","d. 1726, VA",,,G3_DENT,,https://www.wikitree.com/wiki/Wilkinson-522,,,,
G3_BROOKE,Maj. Thomas Brooke,3,Maj. Thomas Brooke,"b. 1632, MD","d. 1676, MD",G4_BROOKE,G4_BAKER,G3_HATTON,,https://www.findagrave.com/memorial/33513865/thomas-brooke,,,,
G3_HATTON,Eleanor Hatton,3,Eleanor Hatton,"b. 1640, England","d. 1725, MD",,,G3_BROOKE,,https://www.findagrave.com/memorial/200578309/eleanor-darnall,,,,
G4_BROOKE,Robert Brooke Sr.,4,Robert Brooke Sr.,"b. 1602, England","d. 1655, MD",,,G4_BAKER,,https://www.findagrave.com/memorial/17908266/robert-brooke,immigrated 1650 to MD and served as acting governor of MD 1652.,,,
G4_BAKER,Mary Baker,4,Mary Baker,"b. 1606, England","d. 1634, England",,,G4_BROOKE,,https://www.findagrave.com/memorial/39193141/mary-brooke,"descended from Sir Simon de Monyn, Lord of the Castle of Mayon, in Normandy, who came to England with William the Conqueror.",,,
G4_WILKINSON,William Wilkinson,4,William Wilkinson,"b. ~1612, England","d. before 1633, MD",,,,,https://www.wikitree.com/wiki/Wilkinson-520,,,,
G4_HUGHES,Naomi Hughes,4,Naomi Hughes,"b. 1616, England","d. 1648, VA",,,G4_WILKINSON,,https://www.wikitree.com/wiki/Hughes-9127,,,,
